ChoiceValue,LabelEn,LabelSw,SortOrder
1,Arusha,Arusha,1
2,Dar es Salaam,Dar es Salaam,2
3,Dodoma,Dodoma,3
4,Geita,Geita,4
5,Iringa,Iringa,5
6,Kagera,Kagera,6
7,Katavi,Katavi,7
8,Kigoma,Kigoma,8
9,Kilimanjaro,Kilimanjaro,9
10,Lindi,Lindi,10
11,Manyara,Manyara,11
12,Mara,Mara,12
13,Mbeya,Mbeya,13
14,Morogoro,Morogoro,14
15,Mtwara,Mtwara,15
16,Mwanza,Mwanza,16
17,Njombe,Njombe,17
18,Pwani,Pwani,18
19,Rukwa,Rukwa,19
20,Ruvuma,Ruvuma,20
21,Shinyanga,Shinyanga,21
22,Simiyu,Simiyu,22
23,Singida,Singida,23
24,Songwe,Songwe,24
25,Tabora,Tabora,25
26,Tanga,Tanga,26
